Contract Name	Last Trade Date	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
AAPL221014C00130000	2022-09-27 12:19PM EDT	130.00	21.10	21.65	23.55	-0.48	-2.22%	13	77	55.05%
AAPL221014C00135000	2022-09-27 3:46PM EDT	135.00	18.00	17.20	18.90	-0.10	-0.55%	8	99	51.32%
AAPL221014C00138000	2022-09-27 3:50PM EDT	138.00	15.40	14.85	16.30	+0.40	+2.67%	18	45	50.76%
AAPL221014C00139000	2022-09-27 3:02PM EDT	139.00	14.50	14.00	15.45	+0.67	+4.84%	24	29	57.37%
AAPL221014C00140000	2022-09-27 3:47PM EDT	140.00	13.52	13.35	14.50	+0.62	+4.81%	36	92	55.23%
AAPL221014C00141000	2022-09-27 3:57PM EDT	141.00	12.90	12.25	13.45	+0.40	+3.20%	11	36	52.10%
AAPL221014C00142000	2022-09-27 12:53PM EDT	142.00	11.60	11.15	12.65	-0.55	-4.53%	32	38	51.25%
AAPL221014C00143000	2022-09-27 3:56PM EDT	143.00	11.30	10.40	11.85	-0.10	-0.88%	65	85	50.28%
AAPL221014C00144000	2022-09-27 3:02PM EDT	144.00	10.30	9.80	11.55	-0.10	-0.96%	40	32	53.44%
AAPL221014C00145000	2022-09-27 3:44PM EDT	145.00	9.70	8.95	10.25	+0.39	+4.19%	166	355	47.96%
AAPL221014C00146000	2022-09-27 3:50PM EDT	146.00	9.00	8.60	9.70	-0.15	-1.64%	29	92	48.65%
AAPL221014C00147000	2022-09-27 2:40PM EDT	147.00	8.45	7.90	8.75	+0.56	+7.10%	52	78	45.92%
AAPL221014C00148000	2022-09-27 3:20PM EDT	148.00	7.80	7.25	8.40	+0.69	+9.70%	76	306	47.79%
AAPL221014C00149000	2022-09-27 3:20PM EDT	149.00	7.15	6.55	7.70	+0.45	+6.72%	127	536	46.73%
AAPL221014C00150000	2022-09-27 3:59PM EDT	150.00	6.40	6.40	6.50	+0.50	+8.47%	777	2,595	41.72%
AAPL221014C00152500	2022-09-27 3:59PM EDT	152.50	5.05	4.95	5.05	+0.55	+12.22%	1,934	3,112	40.16%
AAPL221014C00155000	2022-09-27 3:59PM EDT	155.00	3.78	3.70	3.80	+0.38	+11.18%	3,962	5,933	38.73%
AAPL221014C00157500	2022-09-27 3:57PM EDT	157.50	2.67	2.68	2.72	+0.28	+11.72%	1,095	2,243	37.11%
AAPL221014C00160000	2022-09-27 3:59PM EDT	160.00	1.90	1.85	1.89	+0.20	+11.76%	2,817	3,907	35.91%
AAPL221014C00162500	2022-09-27 3:59PM EDT	162.50	1.24	1.24	1.27	+0.12	+10.71%	2,468	2,737	34.99%
AAPL221014C00165000	2022-09-27 3:59PM EDT	165.00	0.81	0.80	0.82	+0.07	+9.46%	18,574	6,132	34.18%
AAPL221014C00167500	2022-09-27 3:59PM EDT	167.50	0.51	0.50	0.52	+0.03	+6.25%	3,050	3,133	33.67%
AAPL221014C00170000	2022-09-27 3:59PM EDT	170.00	0.32	0.31	0.33	-0.03	-8.57%	1,385	3,865	33.50%
AAPL221021C00130000	2022-09-27 2:24PM EDT	130.00	22.50	22.95	23.75	+0.35	+1.58%	80	1,702	56.62%
AAPL221021C00131000	2022-09-27 3:59PM EDT	131.00	22.10	21.40	22.75	+0.40	+1.84%	79	15	51.37%
AAPL221021C00132000	2022-09-27 3:44PM EDT	132.00	21.25	20.45	21.85	+0.25	+1.19%	88	85	50.39%
AAPL221021C00133000	2022-09-27 2:49PM EDT	133.00	20.90	19.55	21.10	+1.30	+6.63%	142	61	50.46%
AAPL221021C00134000	2022-09-27 3:37PM EDT	134.00	19.45	18.70	20.10	+0.65	+3.46%	264	113	56.40%
AAPL221021C00135000	2022-09-27 3:41PM EDT	135.00	18.35	17.85	19.20	+0.40	+2.23%	106	2,018	55.21%
AAPL221021C00136000	2022-09-27 3:41PM EDT	136.00	17.50	16.40	18.50	+0.10	+0.57%	119	108	55.76%
AAPL221021C00137000	2022-09-27 3:37PM EDT	137.00	16.60	15.95	17.70	+0.35	+2.15%	144	90	55.27%
AAPL221021C00138000	2022-09-27 3:56PM EDT	138.00	16.05	15.70	16.40	+0.50	+3.22%	284	135	50.48%
AAPL221021C00139000	2022-09-27 3:37PM EDT	139.00	14.95	14.90	15.65	+0.40	+2.75%	231	163	50.34%
AAPL221021C00140000	2022-09-27 3:56PM EDT	140.00	14.35	13.95	14.80	+0.67	+4.90%	1,111	19,664	49.29%
AAPL221021C00141000	2022-09-27 3:58PM EDT	141.00	13.45	13.25	14.00	+0.20	+1.51%	223	151	48.54%
AAPL221021C00142000	2022-09-27 3:47PM EDT	142.00	12.67	12.40	13.45	+0.22	+1.77%	238	182	49.56%
AAPL221021C00143000	2022-09-27 3:37PM EDT	143.00	11.85	11.80	12.40	+0.30	+2.60%	2,743	372	46.74%
AAPL221021C00144000	2022-09-27 3:49PM EDT	144.00	11.25	10.95	11.90	+0.50	+4.65%	382	254	47.84%
AAPL221021C00145000	2022-09-27 3:57PM EDT	145.00	10.55	10.55	10.70	+0.48	+4.77%	905	9,890	43.87%
AAPL221021C00146000	2022-09-27 3:13PM EDT	146.00	10.05	9.55	10.15	+0.95	+10.44%	382	589	44.35%
AAPL221021C00147000	2022-09-27 3:37PM EDT	147.00	8.95	9.15	9.35	+0.35	+4.07%	359	516	42.99%
AAPL221021C00148000	2022-09-27 3:23PM EDT	148.00	8.59	8.25	8.75	+0.04	+0.47%	347	798	42.86%
AAPL221021C00149000	2022-09-27 3:54PM EDT	149.00	8.05	7.85	7.95	+0.76	+10.43%	890	20,505	41.27%
AAPL221021C00150000	2022-09-27 3:59PM EDT	150.00	7.35	7.25	7.35	+0.63	+9.38%	7,631	20,246	40.85%
AAPL221021C00152500	2022-09-27 3:58PM EDT	152.50	5.85	5.80	5.90	+0.50	+9.35%	3,755	23,321	39.44%
AAPL221021C00155000	2022-09-27 3:59PM EDT	155.00	4.55	4.55	4.65	+0.40	+9.64%	7,682	48,350	38.32%
AAPL221021C00157500	2022-09-27 3:56PM EDT	157.50	3.50	3.45	3.55	+0.25	+7.69%	1,333	4,368	37.10%
AAPL221021C00160000	2022-09-27 3:59PM EDT	160.00	2.60	2.55	2.59	+0.30	+13.04%	10,072	50,812	35.67%
AAPL221021C00162500	2022-09-27 3:58PM EDT	162.50	1.83	1.82	1.86	+0.18	+10.91%	1,750	4,136	34.69%
AAPL221021C00165000	2022-09-27 3:59PM EDT	165.00	1.29	1.27	1.30	+0.13	+11.21%	4,581	52,594	33.89%
AAPL221021C00167500	2022-09-27 3:58PM EDT	167.50	0.86	0.86	0.89	+0.04	+4.88%	2,169	8,302	33.25%
AAPL221021C00170000	2022-09-27 3:59PM EDT	170.00	0.59	0.59	0.60	+0.04	+7.27%	2,963	67,472	32.81%
AAPL221028C00130000	2022-09-27 3:27PM EDT	130.00	23.45	21.50	25.05	-1.25	-5.06%	4	12	65.60%
AAPL221028C00135000	2022-09-27 2:25PM EDT	135.00	18.95	17.55	20.70	-0.56	-2.87%	3	29	60.40%
AAPL221028C00138000	2022-09-27 1:55PM EDT	138.00	16.45	15.30	18.20	-0.15	-0.90%	1	50	57.52%
AAPL221028C00139000	2022-09-27 12:21PM EDT	139.00	15.15	14.60	17.40	-2.60	-14.65%	1	24	56.68%
AAPL221028C00140000	2022-09-27 3:55PM EDT	140.00	15.60	13.90	16.55	+1.15	+7.96%	371	429	55.44%
AAPL221028C00141000	2022-09-27 3:00PM EDT	141.00	14.80	13.25	15.80	-3.05	-17.09%	343	328	54.81%
AAPL221028C00142000	2022-09-27 1:39PM EDT	142.00	14.35	12.55	15.00	+0.80	+5.90%	10	28	53.77%
AAPL221028C00143000	2022-09-26 2:49PM EDT	143.00	12.85	11.90	14.55	0.00	-	2	107	54.85%
AAPL221028C00144000	2022-09-27 9:31AM EDT	144.00	13.20	11.25	13.75	+1.35	+11.39%	1	31	53.66%
