	Contract Name	Last Trade Date	Strike	Last Price	Bid	Ask
0	AMZN231013C00070000	2023-09-22 12:45PM EDT	70.0	61.45	59.0	59.65
1	AMZN231013C00075000	2023-09-21 3:13PM EDT	75.0	54.85	54.0	54.65
2	AMZN231013C00090000	2023-09-22 2:34PM EDT	90.0	39.47	37.95	40.9
3	AMZN231013C00100000	2023-09-22 10:31AM EDT	100.0	31.3	29.1	29.85
4	AMZN231013C00105000	2023-09-21 2:36PM EDT	105.0	24.45	24.1	24.95
5	AMZN231013C00110000	2023-09-21 2:09PM EDT	110.0	19.55	19.2	20.1
6	AMZN231013C00115000	2023-09-22 3:50PM EDT	115.0	15.1	14.4	15.35
7	AMZN231013C00120000	2023-09-22 3:55PM EDT	120.0	10.45	10.15	10.45
8	AMZN231013C00121000	2023-09-22 3:13PM EDT	121.0	10.02	9.3	9.6
9	AMZN231013C00122000	2023-09-22 2:53PM EDT	122.0	8.63	8.5	9.0
10	AMZN231013C00123000	2023-09-22 3:55PM EDT	123.0	8.0	7.7	8.0
11	AMZN231013C00124000	2023-09-22 3:55PM EDT	124.0	7.1	6.95	7.25
12	AMZN231013C00125000	2023-09-22 3:59PM EDT	125.0	6.45	6.35	6.5
13	AMZN231013C00126000	2023-09-22 3:55PM EDT	126.0	5.8	5.7	5.8
14	AMZN231013C00127000	2023-09-22 3:02PM EDT	127.0	5.3	5.05	5.2
15	AMZN231013C00128000	2023-09-22 3:36PM EDT	128.0	4.88	4.45	4.55
16	AMZN231013C00129000	2023-09-22 3:55PM EDT	129.0	4.0	3.85	4.0
17	AMZN231013C00130000	2023-09-22 3:57PM EDT	130.0	3.45	3.35	3.5
18	AMZN231013C00131000	2023-09-22 3:57PM EDT	131.0	2.94	2.89	2.98
19	AMZN231013C00132000	2023-09-22 3:58PM EDT	132.0	2.5	2.46	2.6
20	AMZN231013C00133000	2023-09-22 3:57PM EDT	133.0	2.14	2.08	2.16
21	AMZN231013C00134000	2023-09-22 3:53PM EDT	134.0	1.82	1.74	1.82
22	AMZN231013C00135000	2023-09-22 3:59PM EDT	135.0	1.53	1.44	1.53
23	AMZN231013C00136000	2023-09-22 3:59PM EDT	136.0	1.26	1.19	1.27
24	AMZN231013C00137000	2023-09-22 3:59PM EDT	137.0	1.02	0.98	1.05
25	AMZN231013C00138000	2023-09-22 3:58PM EDT	138.0	0.85	0.8	0.86
26	AMZN231013C00139000	2023-09-22 3:58PM EDT	139.0	0.69	0.65	0.71
27	AMZN231013C00140000	2023-09-22 3:55PM EDT	140.0	0.59	0.53	0.58
28	AMZN231013C00141000	2023-09-22 3:50PM EDT	141.0	0.48	0.43	0.48
29	AMZN231013C00142000	2023-09-22 3:48PM EDT	142.0	0.38	0.36	0.4
30	AMZN231013C00143000	2023-09-22 3:05PM EDT	143.0	0.32	0.31	0.33
31	AMZN231013C00144000	2023-09-22 3:49PM EDT	144.0	0.27	0.26	0.27
32	AMZN231013C00145000	2023-09-22 3:47PM EDT	145.0	0.21	0.21	0.23
33	AMZN231013C00146000	2023-09-22 3:01PM EDT	146.0	0.18	0.18	0.2
34	AMZN231013C00147000	2023-09-22 2:25PM EDT	147.0	0.15	0.15	0.16
35	AMZN231013C00148000	2023-09-22 3:44PM EDT	148.0	0.12	0.1	0.15
36	AMZN231013C00149000	2023-09-22 3:53PM EDT	149.0	0.11	0.11	0.13
37	AMZN231013C00150000	2023-09-22 3:40PM EDT	150.0	0.11	0.09	0.11
38	AMZN231013C00152500	2023-09-22 2:55PM EDT	152.5	0.07	0.07	0.08
39	AMZN231013C00155000	2023-09-22 2:56PM EDT	155.0	0.05	0.05	0.06
40	AMZN231013C00157500	2023-09-22 2:51PM EDT	157.5	0.04	0.03	0.05
41	AMZN231013C00160000	2023-09-22 1:27PM EDT	160.0	0.02	0.02	0.03
42	AMZN231013C00162500	2023-09-21 9:32AM EDT	162.5	0.03	0.01	0.03
43	AMZN231013C00165000	2023-09-22 10:42AM EDT	165.0	0.02	0.01	0.02
44	AMZN231013C00167500	2023-09-22 2:23PM EDT	167.5	0.01	0.0	0.07
45	AMZN231013C00170000	2023-09-22 1:40PM EDT	170.0	0.01	0.0	0.06
46	AMZN231013C00175000	2023-09-21 10:29AM EDT	175.0	0.01	0.0	0.06
47	AMZN231020C00095000	2023-09-22 3:46PM EDT	95.0	34.93	34.25	34.95
48	AMZN231020C00100000	2023-09-22 2:59PM EDT	100.0	29.7	29.2	30.05
49	AMZN231020C00105000	2023-09-22 12:06PM EDT	105.0	26.42	24.5	25.15
50	AMZN231020C00110000	2023-09-22 3:54PM EDT	110.0	19.75	19.7	20.1
51	AMZN231020C00115000	2023-09-22 3:59PM EDT	115.0	15.15	15.1	15.35
52	AMZN231020C00120000	2023-09-22 3:55PM EDT	120.0	10.8	10.7	10.95
53	AMZN231020C00125000	2023-09-22 3:55PM EDT	125.0	7.1	7.0	7.1
54	AMZN231020C00130000	2023-09-22 3:59PM EDT	130.0	4.1	4.0	4.1
55	AMZN231020C00135000	2023-09-22 3:59PM EDT	135.0	2.04	2.0	2.07
56	AMZN231020C00140000	2023-09-22 3:59PM EDT	140.0	0.9	0.9	0.93
57	AMZN231020C00145000	2023-09-22 3:59PM EDT	145.0	0.39	0.38	0.41
58	AMZN231020C00150000	2023-09-22 3:56PM EDT	150.0	0.2	0.19	0.2
59	AMZN231020C00155000	2023-09-22 3:37PM EDT	155.0	0.11	0.1	0.11
60	AMZN231020C00160000	2023-09-22 3:41PM EDT	160.0	0.06	0.05	0.07
