Contract Name	Last Trade Date	Strike	Last Price	Bid	Ask	Change	% Change	Volume	Open Interest	Implied Volatility
AMZN231013C00070000	2023-09-22 12:45PM EDT	70.00	61.45	59.00	59.65	-7.80	-11.26%	1	1	124.22%
AMZN231013C00075000	2023-09-21 3:13PM EDT	75.00	54.85	54.00	54.65	0.00	-	1	3	111.52%
AMZN231013C00090000	2023-09-22 2:34PM EDT	90.00	39.47	37.95	40.90	-1.33	-3.26%	2	11	83.50%
AMZN231013C00100000	2023-09-22 10:31AM EDT	100.00	31.30	29.10	29.85	+1.30	+4.33%	12	40	64.26%
AMZN231013C00105000	2023-09-21 2:36PM EDT	105.00	24.45	24.10	24.95	-1.10	-4.31%	7	61	55.62%
AMZN231013C00110000	2023-09-21 2:09PM EDT	110.00	19.55	19.20	20.10	-1.65	-7.78%	5	80	57.23%
AMZN231013C00115000	2023-09-22 3:50PM EDT	115.00	15.10	14.40	15.35	-0.40	-2.58%	8	59	49.05%
AMZN231013C00120000	2023-09-22 3:55PM EDT	120.00	10.45	10.15	10.45	-0.85	-7.52%	17	96	37.72%
AMZN231013C00121000	2023-09-22 3:13PM EDT	121.00	10.02	9.30	9.60	-1.43	-12.49%	5	19	36.77%
AMZN231013C00122000	2023-09-22 2:53PM EDT	122.00	8.63	8.50	9.00	-1.04	-10.75%	13	26	38.21%
AMZN231013C00123000	2023-09-22 3:55PM EDT	123.00	8.00	7.70	8.00	-1.65	-17.10%	40	29	35.32%
AMZN231013C00124000	2023-09-22 3:55PM EDT	124.00	7.10	6.95	7.25	-1.34	-15.88%	426	5	34.72%
AMZN231013C00125000	2023-09-22 3:59PM EDT	125.00	6.45	6.35	6.50	-0.52	-7.46%	46	80	33.86%
AMZN231013C00126000	2023-09-22 3:55PM EDT	126.00	5.80	5.70	5.80	-0.50	-7.94%	32	134	33.18%
AMZN231013C00127000	2023-09-22 3:02PM EDT	127.00	5.30	5.05	5.20	-0.30	-5.36%	41	206	33.07%
AMZN231013C00128000	2023-09-22 3:36PM EDT	128.00	4.88	4.45	4.55	-0.02	-0.41%	33	123	32.23%
AMZN231013C00129000	2023-09-22 3:55PM EDT	129.00	4.00	3.85	4.00	-0.36	-8.26%	84	83	31.91%
AMZN231013C00130000	2023-09-22 3:57PM EDT	130.00	3.45	3.35	3.50	-0.30	-8.00%	309	539	31.67%
AMZN231013C00131000	2023-09-22 3:57PM EDT	131.00	2.94	2.89	2.98	-0.36	-10.91%	523	498	30.91%
AMZN231013C00132000	2023-09-22 3:58PM EDT	132.00	2.50	2.46	2.60	-0.35	-12.28%	798	344	30.98%
AMZN231013C00133000	2023-09-22 3:57PM EDT	133.00	2.14	2.08	2.16	-0.31	-12.65%	346	175	30.21%
AMZN231013C00134000	2023-09-22 3:53PM EDT	134.00	1.82	1.74	1.82	-0.35	-16.13%	589	217	29.93%
AMZN231013C00135000	2023-09-22 3:59PM EDT	135.00	1.53	1.44	1.53	-0.23	-13.07%	1,060	617	29.77%
AMZN231013C00136000	2023-09-22 3:59PM EDT	136.00	1.26	1.19	1.27	-0.25	-16.56%	728	1,390	29.55%
AMZN231013C00137000	2023-09-22 3:59PM EDT	137.00	1.02	0.98	1.05	-0.26	-20.31%	123	626	29.40%
AMZN231013C00138000	2023-09-22 3:58PM EDT	138.00	0.85	0.80	0.86	-0.21	-19.81%	153	610	29.25%
AMZN231013C00139000	2023-09-22 3:58PM EDT	139.00	0.69	0.65	0.71	-0.22	-24.18%	689	631	29.25%
AMZN231013C00140000	2023-09-22 3:55PM EDT	140.00	0.59	0.53	0.58	-0.15	-20.27%	841	1,440	29.22%
AMZN231013C00141000	2023-09-22 3:50PM EDT	141.00	0.48	0.43	0.48	-0.14	-22.58%	113	568	29.35%
AMZN231013C00142000	2023-09-22 3:48PM EDT	142.00	0.38	0.36	0.40	-0.13	-25.49%	288	1,169	29.54%
AMZN231013C00143000	2023-09-22 3:05PM EDT	143.00	0.32	0.31	0.33	-0.10	-23.81%	263	564	29.69%
AMZN231013C00144000	2023-09-22 3:49PM EDT	144.00	0.27	0.26	0.27	-0.08	-22.86%	114	645	29.83%
AMZN231013C00145000	2023-09-22 3:47PM EDT	145.00	0.21	0.21	0.23	-0.08	-27.59%	271	1,260	30.23%
AMZN231013C00146000	2023-09-22 3:01PM EDT	146.00	0.18	0.18	0.20	-0.06	-25.00%	67	549	30.71%
AMZN231013C00147000	2023-09-22 2:25PM EDT	147.00	0.15	0.15	0.16	-0.07	-31.82%	30	408	30.71%
AMZN231013C00148000	2023-09-22 3:44PM EDT	148.00	0.12	0.10	0.15	-0.07	-36.84%	66	524	31.64%
AMZN231013C00149000	2023-09-22 3:53PM EDT	149.00	0.11	0.11	0.13	-0.03	-21.43%	20	819	32.03%
AMZN231013C00150000	2023-09-22 3:40PM EDT	150.00	0.11	0.09	0.11	-0.02	-15.38%	209	2,432	32.32%
AMZN231013C00152500	2023-09-22 2:55PM EDT	152.50	0.07	0.07	0.08	-0.01	-12.50%	35	1,033	33.59%
AMZN231013C00155000	2023-09-22 2:56PM EDT	155.00	0.05	0.05	0.06	-0.02	-28.57%	47	1,334	34.77%
AMZN231013C00157500	2023-09-22 2:51PM EDT	157.50	0.04	0.03	0.05	0.00	-	2	84	36.52%
AMZN231013C00160000	2023-09-22 1:27PM EDT	160.00	0.02	0.02	0.03	-0.01	-33.33%	17	440	36.72%
AMZN231013C00162500	2023-09-21 9:32AM EDT	162.50	0.03	0.01	0.03	0.00	-	10	11	38.87%
AMZN231013C00165000	2023-09-22 10:42AM EDT	165.00	0.02	0.01	0.02	+0.01	+100.00%	1	619	39.45%
AMZN231013C00167500	2023-09-22 2:23PM EDT	167.50	0.01	0.00	0.07	-0.03	-75.00%	3	30	48.05%
AMZN231013C00170000	2023-09-22 1:40PM EDT	170.00	0.01	0.00	0.06	0.00	-	2	127	49.41%
AMZN231013C00175000	2023-09-21 10:29AM EDT	175.00	0.01	0.00	0.06	0.00	-	14	56	53.71%
AMZN231020C00095000	2023-09-22 3:46PM EDT	95.00	34.93	34.25	34.95	-9.07	-20.61%	14	4,384	68.85%
AMZN231020C00100000	2023-09-22 2:59PM EDT	100.00	29.70	29.20	30.05	-0.40	-1.33%	147	4,068	59.96%
AMZN231020C00105000	2023-09-22 12:06PM EDT	105.00	26.42	24.50	25.15	+1.42	+5.68%	12	9,984	54.83%
AMZN231020C00110000	2023-09-22 3:54PM EDT	110.00	19.75	19.70	20.10	-0.60	-2.95%	39	9,181	49.56%
AMZN231020C00115000	2023-09-22 3:59PM EDT	115.00	15.15	15.10	15.35	-0.65	-4.11%	38	5,459	42.48%
AMZN231020C00120000	2023-09-22 3:55PM EDT	120.00	10.80	10.70	10.95	-0.50	-4.42%	476	28,026	37.50%
AMZN231020C00125000	2023-09-22 3:55PM EDT	125.00	7.10	7.00	7.10	-0.40	-5.33%	645	7,326	33.91%
AMZN231020C00130000	2023-09-22 3:59PM EDT	130.00	4.10	4.00	4.10	-0.30	-6.82%	3,663	29,894	31.63%
AMZN231020C00135000	2023-09-22 3:59PM EDT	135.00	2.04	2.00	2.07	-0.26	-11.30%	2,535	44,792	30.15%
AMZN231020C00140000	2023-09-22 3:59PM EDT	140.00	0.90	0.90	0.93	-0.17	-15.89%	4,699	57,598	29.47%
AMZN231020C00145000	2023-09-22 3:59PM EDT	145.00	0.39	0.38	0.41	-0.09	-18.75%	4,384	48,905	29.81%
AMZN231020C00150000	2023-09-22 3:56PM EDT	150.00	0.20	0.19	0.20	-0.03	-13.04%	1,976	47,463	31.15%
AMZN231020C00155000	2023-09-22 3:37PM EDT	155.00	0.11	0.10	0.11	-0.01	-8.33%	751	31,617	33.01%
AMZN231020C00160000	2023-09-22 3:41PM EDT	160.00	0.06	0.05	0.07	-0.01	-14.29%	288	22,241	35.35%
AMZN231020C00165000	2023-09-22 3:29PM EDT	165.00	0.03	0.02	0.04	-0.01	-25.00%	232	5,215	36.72%
AMZN231020C00170000	2023-09-22 2:36PM EDT	170.00	0.02	0.02	0.03	0.00	-	84	6,014	39.45%
AMZN231020C00175000	2023-09-22 2:22PM EDT	175.00	0.02	0.01	0.03	+0.01	+100.00%	102	9,097	42.97%
AMZN231027C00070000	2023-09-11 3:19PM EDT	70.00	73.74	59.10	59.80	0.00	-	-	1	103.71%
AMZN231027C00090000	2023-09-22 2:34PM EDT	90.00	39.70	39.25	40.10	-6.90	-14.81%	6	21	72.61%
AMZN231027C00095000	2023-09-14 10:58AM EDT	95.00	50.62	34.30	35.25	0.00	-	-	1	65.92%
AMZN231027C00100000	2023-09-22 3:12PM EDT	100.00	30.67	29.35	30.45	-1.21	-3.80%	6	10	59.33%
AMZN231027C00105000	2023-09-22 11:38AM EDT	105.00	27.33	24.50	25.70	-8.26	-23.21%	9	2	53.52%
AMZN231027C00110000	2023-09-21 1:02PM EDT	110.00	21.87	19.75	21.15	0.00	-	3	18	56.51%
AMZN231027C00115000	2023-09-22 3:17PM EDT	115.00	16.40	15.55	16.40	-0.13	-0.79%	24	33	48.22%
AMZN231027C00120000	2023-09-22 3:55PM EDT	120.00	11.80	11.15	11.90	-0.40	-3.28%	37	202	41.11%
AMZN231027C00121000	2023-09-21 2:45PM EDT	121.00	11.90	10.40	11.70	0.00	-	1	3	44.65%
AMZN231027C00122000	2023-09-22 11:08AM EDT	122.00	12.41	9.90	11.05	+1.07	+9.44%	3	46	44.62%
AMZN231027C00123000	2023-09-21 11:19AM EDT	123.00	10.78	9.45	9.80	0.00	-	1	12	40.30%
AMZN231027C00124000	2023-09-22 2:24PM EDT	124.00	8.85	8.70	9.00	-0.44	-4.74%	17	14	39.05%
AMZN231027C00125000	2023-09-22 2:17PM EDT	125.00	7.90	8.10	8.35	-0.70	-8.14%	27	77	38.68%
AMZN231027C00126000	2023-09-22 1:46PM EDT	126.00	7.67	7.50	7.70	-0.33	-4.12%	3	64	38.17%
AMZN231027C00127000	2023-09-22 3:54PM EDT	127.00	7.00	6.90	7.10	-0.45	-6.04%	4	18	37.82%
AMZN231027C00128000	2023-09-22 2:44PM EDT	128.00	6.35	6.30	6.55	-0.50	-7.30%	47	45	37.62%
AMZN231027C00129000	2023-09-22 2:57PM EDT	129.00	6.00	5.75	6.00	-0.35	-5.51%	36	25	37.27%
AMZN231027C00130000	2023-09-22 3:59PM EDT	130.00	5.45	5.25	5.45	-0.15	-2.68%	243	259	36.76%
AMZN231027C00131000	2023-09-22 3:47PM EDT	131.00	4.90	4.80	5.00	-0.30	-5.77%	164	508	36.69%
AMZN231027C00132000	2023-09-22 3:44PM EDT	132.00	4.40	4.30	4.50	-0.30	-6.38%	179	140	36.15%
AMZN231027C00133000	2023-09-22 3:57PM EDT	133.00	3.98	3.75	4.05	-0.22	-5.24%	113	111	35.74%
AMZN231027C00134000	2023-09-22 3:10PM EDT	134.00	3.75	3.40	3.70	-0.10	-2.60%	78	229	35.82%
AMZN231027C00135000	2023-09-22 3:44PM EDT	135.00	3.22	3.10	3.30	-0.23	-6.67%	410	556	35.39%
AMZN231027C00136000	2023-09-22 3:23PM EDT	136.00	2.88	2.79	2.94	-0.27	-8.57%	227	233	35.05%
AMZN231027C00137000	2023-09-22 3:18PM EDT	137.00	2.71	2.48	2.63	-0.01	-0.37%	118	302	34.88%
AMZN231027C00138000	2023-09-22 3:31PM EDT	138.00	2.38	2.19	2.34	-0.12	-4.80%	102	273	34.67%
AMZN231027C00139000	2023-09-22 3:43PM EDT	139.00	2.00	1.93	2.07	-0.18	-8.26%	58	241	34.44%
AMZN231027C00140000	2023-09-22 3:59PM EDT	140.00	1.77	1.70	1.85	-0.20	-10.15%	1,108	1,581	34.42%
AMZN231027C00141000	2023-09-22 3:09PM EDT	141.00	1.65	1.50	1.62	-0.12	-6.78%	48	377	34.16%
AMZN231027C00142000	2023-09-22 3:49PM EDT	142.00	1.35	1.29	1.46	-0.18	-11.76%	48	595	34.33%
AMZN231027C00143000	2023-09-22 3:24PM EDT	143.00	1.30	1.14	1.29	-0.04	-2.99%	93	630	34.28%
AMZN231027C00144000	2023-09-22 2:56PM EDT	144.00	1.05	0.99	1.15	-0.17	-13.93%	40	225	34.35%
AMZN231027C00145000	2023-09-22 3:54PM EDT	145.00	0.91	0.87	0.99	-0.14	-13.33%	302	1,531	34.06%
AMZN231027C00146000	2023-09-22 3:45PM EDT	146.00	0.83	0.80	0.90	-0.12	-12.63%	221	626	34.38%
AMZN231027C00147000	2023-09-22 3:43PM EDT	147.00	0.75	0.70	0.79	-0.04	-5.06%	14	310	34.35%
AMZN231027C00148000	2023-09-22 3:26PM EDT	148.00	0.67	0.57	0.71	-0.02	-2.90%	28	122	34.57%
AMZN231027C00149000	2023-09-22 3:53PM EDT	149.00	0.54	0.50	0.63	-0.14	-20.59%	24	257	34.67%
AMZN231027C00150000	2023-09-22 2:31PM EDT	150.00	0.50	0.45	0.57	-0.06	-10.71%	352	1,924	34.94%
AMZN231027C00152500	2023-09-22 3:51PM EDT	152.50	0.36	0.32	0.43	-0.07	-16.28%	136	468	35.35%
AMZN231027C00155000	2023-09-22 3:56PM EDT	155.00	0.29	0.23	0.34	-0.02	-6.45%	53	769	36.13%
AMZN231027C00157500	2023-09-22 1:41PM EDT	157.50	0.19	0.16	0.25	-0.05	-20.83%	15	263	36.33%
AMZN231027C00160000	2023-09-22 3:59PM EDT	160.00	0.17	0.14	0.19	-0.02	-10.53%	60	1,159	36.82%
AMZN231027C00162500	2023-09-22 3:39PM EDT	162.50	0.17	0.13	0.19	+0.02	+13.33%	5	78	38.97%
AMZN231027C00165000	2023-09-22 11:31AM EDT	165.00	0.11	0.08	0.16	+0.01	+10.00%	3	171	39.94%
AMZN231027C00167500	2023-09-22 2:02PM EDT	167.50	0.09	0.03	0.09	-0.06	-40.00%	20	4	38.48%
AMZN231027C00170000	2023-09-21 2:14PM EDT	170.00	0.10	0.05	0.11	0.00	-	16	246	41.50%
AMZN231117C00060000	2023-09-06 9:43AM EDT	60.00	77.27	69.25	70.00	0.00	-	2	152	107.91%
AMZN231117C00065000	2023-09-15 12:28PM EDT	65.00	76.35	64.30	65.05	0.00	-	1	449	99.51%
AMZN231117C00070000	2023-09-22 1:15PM EDT	70.00	61.00	59.35	60.10	-7.70	-11.21%	4	179	91.50%
AMZN231117C00075000	2023-09-19 12:36PM EDT	75.00	61.91	54.40	55.20	0.00	-	1,000	10,374	84.47%
AMZN231117C00080000	2023-09-21 9:37AM EDT	80.00	52.13	49.45	50.30	0.00	-	1	124	77.59%
AMZN231117C00085000	2023-09-08 10:45AM EDT	85.00	54.17	44.55	45.45	0.00	-	1	41	71.70%
AMZN231117C00090000	2023-09-22 12:04PM EDT	90.00	41.88	39.65	40.60	-0.67	-1.57%	1	83	65.67%
AMZN231117C00095000	2023-09-22 2:59PM EDT	95.00	35.26	34.80	35.80	-1.52	-4.13%	25	415	60.18%
AMZN231117C00100000	2023-09-22 3:00PM EDT	100.00	30.70	30.00	30.70	-0.30	-0.97%	14	3,430	52.91%
AMZN231117C00105000	2023-09-22 2:56PM EDT	105.00	26.14	25.35	26.05	-1.30	-4.74%	29	626	52.15%
AMZN231117C00110000	2023-09-22 3:50PM EDT	110.00	21.70	21.20	21.65	-0.21	-0.96%	2,082	10,958	48.63%
AMZN231117C00115000	2023-09-22 3:33PM EDT	115.00	17.80	17.20	17.45	+0.11	+0.62%	55	2,628	45.24%
AMZN231117C00120000	2023-09-22 3:52PM EDT	120.00	13.60	13.45	13.65	-0.35	-2.51%	114	143,868	42.74%
AMZN231117C00125000	2023-09-22 3:58PM EDT	125.00	10.20	10.15	10.30	-0.35	-3.32%	301	5,097	40.70%
AMZN231117C00130000	2023-09-22 3:58PM EDT	130.00	7.41	7.30	7.45	-0.25	-3.26%	1,207	12,697	38.97%
AMZN231117C00135000	2023-09-22 3:59PM EDT	135.00	5.15	5.05	5.15	-0.20	-3.74%	3,875	36,091	37.53%
AMZN231117C00140000	2023-09-22 3:59PM EDT	140.00	3.40	3.35	3.45	-0.21	-5.82%	1,997	27,127	36.66%
AMZN231117C00145000	2023-09-22 3:59PM EDT	145.00	2.18	2.16	2.20	-0.16	-6.84%	1,855	38,951	35.83%
AMZN231117C00150000	2023-09-22 3:58PM EDT	150.00	1.36	1.34	1.41	-0.14	-9.33%	2,800	39,505	35.71%
AMZN231117C00155000	2023-09-22 3:59PM EDT	155.00	0.88	0.86	0.89	-0.07	-7.37%	1,204	17,029	35.73%
AMZN231117C00160000	2023-09-22 3:53PM EDT	160.00	0.57	0.55	0.57	-0.05	-8.06%	1,199	25,095	36.06%
AMZN231117C00165000	2023-09-22 3:25PM EDT	165.00	0.38	0.33	0.38	-0.03	-7.32%	147	6,578	36.74%
AMZN231117C00170000	2023-09-22 3:27PM EDT	170.00	0.26	0.24	0.26	-0.02	-7.14%	133	6,074	37.55%
AMZN231117C00175000	2023-09-22 3:53PM EDT	175.00	0.18	0.12	0.18	-0.01	-5.26%	136	2,061	38.38%
AMZN231117C00180000	2023-09-22 3:53PM EDT	180.00	0.12	0.12	0.13	-0.01	-7.69%	118	2,782	39.36%
AMZN231117C00185000	2023-09-22 10:01AM EDT	185.00	0.11	0.09	0.10	+0.02	+22.22%	2	809	40.63%
AMZN231117C00190000	2023-09-22 3:49PM EDT	190.00	0.06	0.06	0.08	-0.01	-14.29%	13	953	41.90%
AMZN231117C00195000	2023-09-22 1:09PM EDT	195.00	0.05	0.04	0.06	-0.01	-16.67%	12	589	42.77%
AMZN231117C00200000	2023-09-22 3:23PM EDT	200.00	0.04	0.03	0.05	0.00	-	169	1,295	44.14%
AMZN231117C00205000	2023-09-19 3:08PM EDT	205.00	0.05	0.02	0.04	0.00	-	1	22	45.12%
AMZN231117C00210000	2023-09-22 3:23PM EDT	210.00	0.02	0.01	0.03	-0.01	-33.33%	17	1,770	45.70%
AMZN231215C00065000	2023-09-19 3:16PM EDT	65.00	72.79	64.60	65.40	0.00	-	3	425	89.01%
AMZN231215C00070000	2023-09-18 10:54AM EDT	70.00	70.65	59.65	60.50	0.00	-	10	24	82.08%
AMZN231215C00075000	2023-09-19 2:49PM EDT	75.00	63.38	54.75	55.65	0.00	-	5	4,580	76.27%
AMZN231215C00080000	2023-09-22 1:43PM EDT	80.00	50.50	49.85	50.80	-1.88	-3.59%	19	91	70.46%
AMZN231215C00085000	2023-09-22 9:45AM EDT	85.00	47.80	45.00	46.00	-10.16	-17.53%	1	56	65.33%
AMZN231215C00090000	2023-09-22 3:34PM EDT	90.00	41.34	40.15	41.20	+0.22	+0.54%	1	86	60.08%
AMZN231215C00095000	2023-09-22 3:33PM EDT	95.00	36.61	35.40	36.50	-0.79	-2.11%	2	268	55.66%
AMZN231215C00100000	2023-09-22 3:24PM EDT	100.00	31.95	30.75	31.90	+0.26	+0.82%	12	336	51.69%
AMZN231215C00105000	2023-09-22 2:18PM EDT	105.00	26.35	26.55	26.90	-0.85	-3.13%	5	370	48.58%
AMZN231215C00110000	2023-09-22 3:20PM EDT	110.00	23.10	22.35	22.70	-0.25	-1.07%	19	894	45.98%
AMZN231215C00115000	2023-09-22 3:59PM EDT	115.00	18.45	18.40	18.60	-0.60	-3.15%	52	1,008	42.90%
AMZN231215C00120000	2023-09-22 3:58PM EDT	120.00	14.84	14.70	14.95	-0.39	-2.56%	4,522	1,548	40.83%
AMZN231215C00125000	2023-09-22 3:49PM EDT	125.00	11.70	11.50	11.60	-0.22	-1.85%	259	3,194	38.70%
AMZN231215C00130000	2023-09-22 3:57PM EDT	130.00	8.70	8.70	8.80	-0.36	-3.97%	1,638	9,438	37.28%
AMZN231215C00135000	2023-09-22 3:58PM EDT	135.00	6.40	6.35	6.45	-0.30	-4.48%	880	11,543	36.01%
AMZN231215C00140000	2023-09-22 3:59PM EDT	140.00	4.55	4.50	4.60	-0.20	-4.21%	1,035	12,043	35.06%
AMZN231215C00145000	2023-09-22 3:59PM EDT	145.00	3.13	3.10	3.20	-0.22	-6.57%	806	13,234	34.38%
AMZN231215C00150000	2023-09-22 3:59PM EDT	150.00	2.12	2.09	2.15	-0.18	-7.83%	2,101	14,531	33.73%
AMZN231215C00155000	2023-09-22 3:59PM EDT	155.00	1.43	1.39	1.45	-0.12	-7.74%	1,018	8,347	33.52%
AMZN231215C00160000	2023-09-22 3:46PM EDT	160.00	0.97	0.95	0.98	-0.08	-7.62%	373	9,015	33.55%
AMZN231215C00165000	2023-09-22 3:49PM EDT	165.00	0.66	0.64	0.67	-0.05	-7.04%	66	4,758	33.77%
AMZN231215C00170000	2023-09-22 2:23PM EDT	170.00	0.46	0.45	0.47	-0.03	-6.12%	706	17,036	34.20%
AMZN231215C00175000	2023-09-22 3:49PM EDT	175.00	0.33	0.31	0.34	-0.02	-5.71%	17	1,375	34.82%
AMZN231215C00180000	2023-09-22 3:38PM EDT	180.00	0.24	0.22	0.24	-0.02	-7.69%	33	5,762	35.25%
